EN,ES,FR
Aardvarks,Aardvarks,Aardvarks
Albatross,Albatros,Albatros
Alligators,Caimanes,Alligators
Alpaca,Alpaca,Alpaga
Anoles,Anoles,Anoles
Ants,Hormigas,Fourmis
Anteaters,Osos Hormigueros,Fourmiliers
Antelopes,Antílopes,Antilopes
Apes,Simios,Grand Singes
Armadillos,Armadillos,Tatous
Asses,Culos,Culs
Baboons,Babuinos,Babouins
Badgers,Tejones,Blaireaux
Barracuda,Barracuda,Barracuda
Bats,Murciélagos,Chauves-Souris
Bears,Osos,Ours
Beavers,Castores,Castors
Bees,Abejas,Abeilles
Binturongs,Binturongs,Binturongs
Birds,Aves,Oiseaux
Bisons,Bisontes,Bisons
Bluebirds,Pájaros Azules,Bluebirds
Boar,Jabali,Sanglier
Bobcats,Linces,Bobcats
Budgies,Periquitos,Perruches
Buffalo,Búfalo,Buffle
Butterflies,Mariposas,Papillons
Camels,Camellos,Chameaux
Capybara,Carpincho,Capybara
Caracals,Caracales,Caracals
Caribou,Caribú,Caribou
Cassowaries,Casuarios,Casoars
Cats,Gatos,Chats
Caterpillars,Orugas,Chenilles
Cattle,Ganado,Bovins
Chamois,Gamuza,Chamois
Cheetahs,Guepardos,Guépards
Chickens,Pollos,Poulets
Chimpanzees,Chimpancés,Chimpanzés
Chinchillas,Chinchillas,Chinchillas
Civets,Civetas,Civettes
Choughs,Chovas,Choughs
Coatis,Coatis,Coatis
Cobras,Cobras,Cobras
Cockroaches,Cucarachas,Cafards
Cod,Bacalao,Morue
Cormorants,Cormoranes,Cormorans
Cougars,Pumas,Cougars
Coyotes,Coyotes,Coyotes
Crabs,Cangrejos,Crabes
Cranes,Grúas,Grues
Crickets,Grillos,Grillons
Crocodiles,Cocodrilos,Crocodiles
Crows,Cornejas,Corneilles
Cuckoos,Cucos,Coucous
Curlews,Zarapitos,Courlis
Deer,Ciervo,Cerf
Dholes,Dholes,Dholes
Dingos,Dingos,Dingos
Dinosaurs,Dinosaurios,Dinosaures
Dogs,Perros,Chiens
Dogfish,Cazón,Chien de Mer
Dolphins,Delfines,Dauphins
Donkeys,Burros,Ânes
Doves,Palomas,Colombes
Dragonflies,Libélulas,Libellules
Ducks,Patos,Canards
Dugongs,Dugongos,Dugongs
Dunlins,Dunlins,Dunlins
Eagles,Águilas,Aigles
Echidnas,Equidnas,Echidnas
Eels,Anguilas,Anguilles
Elands,Elands,Elands
Elephants,Elefantes,Éléphants
Elk,Venados,Wapiti
Emus,Emús,Émeus
Falcons,Halcónes,Faucons
Ferrets,Hurones,Furets
Finches,Pinzones,Pinsons
Fish,Pescado,Poisson
Flamingos,Flamencos,Flamants Roses
Flies,Moscas,Mouches
Flycatchers,Papamoscas,Moucherolle
Foxes,Zorros,Renards
Frogs,Ranas,Grenouilles
Gaurs,Gaurs,Gaurs
Gazelle,Gacela,Gazelle
Geckos,Lagartijas,Geckos
Genets,Genets,Genets
Gerbils,Jerbos,Gerbilles
Giraffes,Jirafas,Girafes
Gnats,Jejénes,Moucherons
Gnus,Gnus,Gnus
Goats,Cabras,Chèvres
Goldfinches,Jilgueros,Chardonnerets
Goosanders,Goosanders,Goosanders
Geese,Gansos,Oies
Gorillas,Gorilas,Gorilles
Goshawks,Azor,Autour des Palombes
Grasshoppers,Saltamontes,Sauterelles
Grouse,Queja,Grouse
Guanacos,Guanacos,Guanacos
Guinea Fowl,Gallina de Guinea,Pintade
Guinea Pigs,Conejillos de indias,Cochons d'Inde
Gulls,Gaviotas,Goélands
Hamsters,Hámsters,Hamsters
Hares,Liebres,Lièvre
Hawks,Gaviláns,Rapaces
Hedgehogs,Erizos,Hérissons
Hermit Crabs,Cangrejos Ermitaños,Bernards l'Hermite
Herons,Garzas,Hérons
Herring,Arenque,Hareng
Hippopotami,Hipopótamo,Hippopotame
Hoatzins,Hoatzins,Hoatzins
Hoopoes,Abubillas,Huppes
Hornets,Avispones,Frelons
Horses,Caballos,Chevaux
Humans,Humanos,Humains
Hummingbirds,Colibríes,Colibris
Hyenas,Hienas,Hyènes
Ibexes,Ibexes,Bouquetins
Ibis,Ibis,Ibis
Iguanas,Iguanas,Iguanes
Impalas,Impalas,Impalas
Jackals,Chacales,Chacals
Jaguars,Jaguares,Jaguars
Jays,Jays,Jays
Jellyfish,Medusa,Méduse
